ffmpeg version N-96206-gf1353ce222 Copyright (c) 2000-2019 the FFmpeg developers
  built with gcc 8 (Raspbian 8.3.0-6+rpi1)
  configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-static --disable-shared --prefix=/usr/local --disable-opencl --disable-thumb --disable-pic --disable-stripping --enable-small --enable-ffmpeg --enable-ffplay --enable-ffprobe --disable-doc --disable-htmlpages --disable-podpages --disable-txtpages --disable-manpages --disable-everything --enable-libx264 --enable-encoder=libx264 --enable-decoder=h264 --enable-encoder=aac --enable-decoder=aac --enable-encoder=ac3 --enable-decoder=ac3 --enable-encoder=rawvideo --enable-decoder=rawvideo --enable-encoder=mjpeg --enable-decoder=mjpeg --enable-demuxer=concat --enable-muxer=flv --enable-demuxer=flv --enable-demuxer=live_flv --enable-muxer=hls --enable-muxer=segment --enable-muxer=stream_segment --enable-muxer=mov --enable-demuxer=mov --enable-muxer=mp4 --enable-muxer=mpegts --enable-demuxer=mpegts --enable-demuxer=mpegvideo --enable-muxer=matroska --enable-demuxer=matroska --enable-muxer=wav --enable-demuxer=wav --enable-muxer='pcm*' --enable-demuxer='pcm*' --enable-muxer=rawvideo --enable-demuxer=rawvideo --enable-muxer=rtsp --enable-demuxer=rtsp --enable-muxer=rtsp --enable-demuxer=sdp --enable-muxer=fifo --enable-muxer=tee --enable-parser=h264 --enable-parser=aac --enable-protocol=file --enable-protocol=tcp --enable-protocol=rtmp --enable-protocol=cache --enable-protocol=pipe --enable-filter=aresample --enable-filter=allyuv --enable-filter=scale --enable-libfreetype --enable-indev=v4l2 --enable-indev=alsa --enable-indev=alsa --enable-outdev=alsa --enable-omx --enable-omx-rpi --enable-encoder=h264_omx --enable-mmal --enable-hwaccel=h264_mmal --enable-decoder=h264_mmal
  libavutil      56. 38.100 / 56. 38.100
  libavcodec     58. 65.100 / 58. 65.100
  libavformat    58. 35.101 / 58. 35.101
  libavdevice    58.  9.102 / 58.  9.102
  libavfilter     7. 70.101 /  7. 70.101
  libswscale      5.  6.100 /  5.  6.100
  libswresample   3.  6.100 /  3.  6.100
  libpostproc    55.  6.100 / 55.  6.100
Input #0, video4linux2,v4l2, from '/dev/video0':
  Duration: N/A, start: 22346.317701, bitrate: 283115 kb/s
    Stream #0:0: Video: rawvideo (I420 / 0x30323449), yuv420p, 1024x768, 283115 kb/s, 30 fps, 30 tbr, 1000k tbn, 1000k tbc
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (h264_omx))
Press [q] to stop, [?] for help
[graph 0 input from stream 0:0 @ 0x14b0fd0] sws_param option is deprecated and ignored
[h264_omx @ 0x14a5420] Using OMX.broadcom.video_encode
Output #0, flv, to 'rtmp://39.107.125.189/myapp/raspi':
  Metadata:
    encoder         : Lavf58.35.101
    Stream #0:0: Video: h264 (h264_omx) ([7][0][0][0] / 0x0007), yuv420p, 1024x768, q=2-31, 200 kb/s, 30 fps, 1k tbn, 30 tbc
    Metadata:
      encoder         : Lavc58.65.100 h264_omx
frame=    4 fps=0.0 q=-0.0 size=       4kB time=00:00:00.16 bitrate= 182.6kbits/s speed=0.335x    
frame=    7 fps=6.9 q=-0.0 size=       8kB time=00:00:00.73 bitrate=  87.0kbits/s speed=0.726x    
frame=   10 fps=6.6 q=-0.0 size=      10kB time=00:00:01.26 bitrate=  64.9kbits/s speed=0.835x    
frame=   13 fps=6.4 q=-0.0 size=      12kB time=00:00:01.80 bitrate=  52.9kbits/s speed=0.889x    
frame=   15 fps=5.9 q=-0.0 size=      14kB time=00:00:02.16 bitrate=  53.1kbits/s speed=0.858x    
frame=   18 fps=5.9 q=-0.0 size=      15kB time=00:00:02.70 bitrate=  45.5kbits/s speed=0.889x    
frame=   21 fps=5.9 q=-0.0 size=      16kB time=00:00:03.23 bitrate=  41.8kbits/s speed=0.912x    
frame=   24 fps=5.9 q=-0.0 size=      19kB time=00:00:03.76 bitrate=  40.3kbits/s speed=0.931x    
frame=   27 fps=5.9 q=-0.0 size=      22kB time=00:00:04.30 bitrate=  41.8kbits/s speed=0.945x    
frame=   30 fps=5.9 q=-0.0 size=      24kB time=00:00:04.80 bitrate=  41.0kbits/s speed=0.949x    
frame=   33 fps=5.9 q=-0.0 size=      26kB time=00:00:05.33 bitrate=  39.5kbits/s speed=0.958x    
frame=   36 fps=5.9 q=-0.0 size=      28kB time=00:00:05.83 bitrate=  39.7kbits/s speed=0.961x    
frame=   39 fps=5.9 q=-0.0 size=      34kB time=00:00:06.33 bitrate=  43.5kbits/s speed=0.964x    
frame=   42 fps=5.9 q=-0.0 size=      36kB time=00:00:06.86 bitrate=  42.4kbits/s speed=0.971x    
frame=   44 fps=5.8 q=-0.0 size=      37kB time=00:00:07.20 bitrate=  41.8kbits/s speed=0.95x    
frame=   47 fps=5.8 q=-0.0 size=      38kB time=00:00:07.73 bitrate=  39.8kbits/s speed=0.956x    
frame=   50 fps=5.8 q=-0.0 size=      39kB time=00:00:08.23 bitrate=  39.3kbits/s speed=0.957x    
frame=   53 fps=5.8 q=-0.0 size=      44kB time=00:00:08.80 bitrate=  41.1kbits/s speed=0.966x    
frame=   56 fps=5.8 q=-0.0 size=      47kB time=00:00:09.33 bitrate=  41.1kbits/s speed=0.971x    
frame=   59 fps=5.8 q=-0.0 size=      50kB time=00:00:09.86 bitrate=  41.3kbits/s speed=0.975x    
frame=   62 fps=5.8 q=-0.0 size=      50kB time=00:00:10.40 bitrate=  39.6kbits/s speed=0.979x    
frame=   64 fps=5.7 q=-0.0 size=      54kB time=00:00:10.76 bitrate=  41.3kbits/s speed=0.967x    
frame=   67 fps=5.8 q=-0.0 size=      58kB time=00:00:11.30 bitrate=  42.0kbits/s speed=0.971x    
frame=   70 fps=5.8 q=-0.0 size=      59kB time=00:00:11.80 bitrate=  41.3kbits/s speed=0.972x    
frame=   73 fps=5.8 q=-0.0 size=      60kB time=00:00:12.33 bitrate=  40.1kbits/s speed=0.975x    
frame=   76 fps=5.8 q=-0.0 size=      64kB time=00:00:12.83 bitrate=  40.6kbits/s speed=0.976x    
frame=   79 fps=5.8 q=-0.0 size=      66kB time=00:00:13.33 bitrate=  40.4kbits/s speed=0.976x    
frame=   82 fps=5.8 q=-0.0 size=      67kB time=00:00:13.86 bitrate=  39.8kbits/s speed=0.98x    
frame=   85 fps=5.8 q=-0.0 size=      70kB time=00:00:14.36 bitrate=  39.8kbits/s speed=0.98x    
frame=   88 fps=5.8 q=-0.0 size=      74kB time=00:00:14.90 bitrate=  40.9kbits/s speed=0.982x    
frame=   91 fps=5.8 q=-0.0 size=      77kB time=00:00:15.40 bitrate=  40.9kbits/s speed=0.983x    
frame=   94 fps=5.8 q=-0.0 size=      78kB time=00:00:15.93 bitrate=  40.1kbits/s speed=0.985x    
frame=   97 fps=5.8 q=-0.0 size=      80kB time=00:00:16.43 bitrate=  39.8kbits/s speed=0.985x    
frame=  100 fps=5.8 q=-0.0 size=      84kB time=00:00:16.96 bitrate=  40.7kbits/s speed=0.987x    
frame=  102 fps=5.8 q=-0.0 size=      85kB time=00:00:17.33 bitrate=  40.0kbits/s speed=0.98x    
frame=  105 fps=5.8 q=-0.0 size=      87kB time=00:00:17.86 bitrate=  39.8kbits/s speed=0.982x    
frame=  108 fps=5.8 q=-0.0 size=      88kB time=00:00:18.40 bitrate=  39.2kbits/s speed=0.984x    
frame=  111 fps=5.8 q=-0.0 size=      93kB time=00:00:18.93 bitrate=  40.4kbits/s speed=0.986x    
frame=  114 fps=5.8 q=-0.0 size=      95kB time=00:00:19.46 bitrate=  39.8kbits/s speed=0.987x    
frame=  117 fps=5.8 q=-0.0 size=      96kB time=00:00:20.00 bitrate=  39.1kbits/s speed=0.989x    
frame=  120 fps=5.8 q=-0.0 size=      99kB time=00:00:20.53 bitrate=  39.4kbits/s speed=0.991x    
frame=  122 fps=5.7 q=-0.0 size=     100kB time=00:00:20.86 bitrate=  39.1kbits/s speed=0.983x    
frame=  125 fps=5.8 q=-0.0 size=     105kB time=00:00:21.36 bitrate=  40.3kbits/s speed=0.983x    
frame=  128 fps=5.8 q=-0.0 size=     107kB time=00:00:21.90 bitrate=  40.0kbits/s speed=0.985x    
frame=  131 fps=5.8 q=-0.0 size=     108kB time=00:00:22.40 bitrate=  39.4kbits/s speed=0.985x    
frame=  134 fps=5.8 q=-0.0 size=     109kB time=00:00:22.93 bitrate=  39.1kbits/s speed=0.986x    
frame=  137 fps=5.8 q=-0.0 size=     114kB time=00:00:23.43 bitrate=  40.0kbits/s speed=0.986x    
frame=  140 fps=5.8 q=-0.0 size=     115kB time=00:00:23.96 bitrate=  39.4kbits/s speed=0.988x    
frame=  143 fps=5.8 q=-0.0 size=     119kB time=00:00:24.46 bitrate=  39.7kbits/s speed=0.988x    
frame=  146 fps=5.8 q=-0.0 size=     120kB time=00:00:25.00 bitrate=  39.4kbits/s speed=0.989x    
frame=  149 fps=5.8 q=-0.0 size=     126kB time=00:00:25.53 bitrate=  40.5kbits/s speed=0.991x    
frame=  151 fps=5.7 q=-0.0 size=     127kB time=00:00:25.90 bitrate=  40.1kbits/s speed=0.986x    
frame=  154 fps=5.7 q=-0.0 size=     128kB time=00:00:26.43 bitrate=  39.7kbits/s speed=0.987x    
frame=  157 fps=5.8 q=-0.0 size=     130kB time=00:00:26.96 bitrate=  39.5kbits/s speed=0.988x    
frame=  160 fps=5.8 q=-0.0 size=     135kB time=00:00:27.50 bitrate=  40.2kbits/s speed=0.989x    
frame=  163 fps=5.8 q=-0.0 size=     136kB time=00:00:28.03 bitrate=  39.9kbits/s speed=0.99x    
frame=  166 fps=5.8 q=-0.0 size=     138kB time=00:00:28.56 bitrate=  39.5kbits/s speed=0.992x    
frame=  169 fps=5.8 q=-0.0 size=     139kB time=00:00:29.06 bitrate=  39.2kbits/s speed=0.991x    
frame=  172 fps=5.8 q=-0.0 size=     143kB time=00:00:29.56 bitrate=  39.7kbits/s speed=0.991x    
frame=  175 fps=5.8 q=-0.0 size=     145kB time=00:00:30.10 bitrate=  39.5kbits/s speed=0.992x    
frame=  177 fps=5.7 q=-0.0 size=     146kB time=00:00:30.46 bitrate=  39.3kbits/s speed=0.988x    
frame=  180 fps=5.7 q=-0.0 size=     148kB time=00:00:31.00 bitrate=  39.2kbits/s speed=0.989x    
frame=  183 fps=5.7 q=-0.0 size=     154kB time=00:00:31.53 bitrate=  39.9kbits/s speed=0.99x    
frame=  186 fps=5.7 q=-0.0 size=     154kB time=00:00:32.10 bitrate=  39.4kbits/s speed=0.992x    
frame=  189 fps=5.8 q=-0.0 size=     156kB time=00:00:32.63 bitrate=  39.2kbits/s speed=0.993x    
frame=  192 fps=5.8 q=-0.0 size=     157kB time=00:00:33.16 bitrate=  38.9kbits/s speed=0.994x    
frame=  194 fps=5.7 q=-0.0 size=     159kB time=00:00:33.50 bitrate=  38.9kbits/s speed=0.989x    
frame=  197 fps=5.7 q=-0.0 size=     164kB time=00:00:34.00 bitrate=  39.6kbits/s speed=0.989x    
frame=  200 fps=5.7 q=-0.0 size=     168kB time=00:00:34.53 bitrate=  39.8kbits/s speed=0.99x    
frame=  203 fps=5.7 q=-0.0 size=     169kB time=00:00:35.03 bitrate=  39.4kbits/s speed=0.99x    
frame=  206 fps=5.7 q=-0.0 size=     170kB time=00:00:35.56 bitrate=  39.1kbits/s speed=0.991x    
frame=  209 fps=5.7 q=-0.0 size=     174kB time=00:00:36.06 bitrate=  39.5kbits/s speed=0.991x    
frame=  212 fps=5.7 q=-0.0 size=     177kB time=00:00:36.60 bitrate=  39.5kbits/s speed=0.992x    
frame=  215 fps=5.7 q=-0.0 size=     180kB time=00:00:37.10 bitrate=  39.7kbits/s speed=0.992x    
frame=  218 fps=5.8 q=-0.0 size=     180kB time=00:00:37.60 bitrate=  39.3kbits/s speed=0.992x    
frame=  221 fps=5.8 q=-0.0 size=     184kB time=00:00:38.13 bitrate=  39.6kbits/s speed=0.993x    
frame=  224 fps=5.8 q=-0.0 size=     186kB time=00:00:38.63 bitrate=  39.5kbits/s speed=0.992x    
frame=  227 fps=5.8 q=-0.0 size=     188kB time=00:00:39.16 bitrate=  39.3kbits/s speed=0.993x    
